-2766.550781, 375.652496, 6.334682, 96.574455//prefeitura 
-1988.149658, 1039.089355, 55.726562, 218.304809//banco
-2653.636474, 640.163085, 14.453125, 2.648632//hospital
-2695.638183, 640.165405, 14.453125, 346.579223//hospital2
1447.551513, 1394.525878, 14.206276, 84.424201//saida
1462.576904, 1407.553588, 14.206275, 100.548011//npcb1
1462.577392, 1405.711914, 14.206276, 89.946968//npcb2
1462.576660, 1403.018798, 14.206276, 94.979888//npcb3
1462.576660, 1400.825683, 14.206275, 89.875282//npcb4
1149.824829, -1320.302734, -44.276340, 266.222839//saida2
-2026.631591, -102.066413, 35.164062, 179.829818//agencia licen
616.849304, -9.415119, 1000.990295, 196.236770//terminou
